sentence_id	sentence	sentence_domain	source
00816b1065df73725fa26233028914b7d5c498792b76418be62f2ce068fc7d22	निष्णात!		tatoeba.org
00864d7850f0f1baabc94246aa8459fe806a69376bec521426b90b78da9d7c52	उसकी छोटी बहन चोदने लायक है।		tatoeba.org
0145a1b21393352a973575d3d96bba1419b569349985559b5ac26b14c5a33c43	रास्ता अगले ५० मैल सीधा ही रहेगा।		tatoeba.org
01946fcca508e1841211ae1d913d15c0fbe7ea0b2783cc234c9cc064a318e291	दिवाली में एक नई स्कूटर खरीदी।	general	cc0 from tatoeba.org
026e8a176d4f4b9545d0b01b43fcf3eb266fc5bacb3315968648b86de351be74	क्या लंड है!		tatoeba.org
03177a32a6fbe3cbffcb3727c56608cc6ac2fc81fd48720c5251d47b1ccab625	यह आप यहां रहती हैं?		tatoeba.org
034ae43215f91d8db7e4f8e071380c22798843ec4694d043ee57fc101311b619	बदल आ रहा है।		tatoeba.org
034fae9519f3a24e54a9dc3676d565bf75bb61fe0ab624d3afaa886c4eb80ca6	वे गे हैं।		tatoeba.org
03b4edae75b3f86b56b81be204472da51530a4e7eab2699ecc65fa56ae170959	टॉम बॉस्टन में लगभग दस सालों से रह रहे है।		tatoeba.org
03c13c7158967f84d0ed630701270e2bc2878405b5fb1ef5227c11a513765608	ईरान में कौन है?		tatoeba.org
03eb71bdb4c0ed7c8dd426f246c5b69fefe0f969fcb005e85638aecdb6c3c671	वह टॉम की टोपी है, ना?		tatoeba.org
03ee73a6612574e99251588d8dd2ef540a1d53728c2bbfdfe310f8d92f38d285	सिगार है?		tatoeba.org
03f1b0335850c73cb46c929e351872331f8576b3d8b9f0b0d77b192f29b92881	"""डिक कहता है ""मैं तैर सकता हूँ।"""		tatoeba.org
03f728e6bcaefce77b4d722b6efcdcdc5876f0b81b19ee919d4d2f387d359ab0	मेरे पिताजी ने मेरे लिए साइकिल खरीदी।		tatoeba.org
03f83f12cc122f3502d878aa1abb7ba961b0940ecaf3db60867964e5e66b9aad	तुम टॉम को जानते हो।		tatoeba.org
03f9ecba7693a1bf2531cef163be3630c006e365744aecfc4f31facd14d8dcfc	ब्राज़ील से हूं , और तुम?		tatoeba.org
04033a72c35bd4343431c04fa5f485ff33d95c07c948a5f39fcc8aed4c84460e	एसटर मुबारक हो!		tatoeba.org
041577f625e8b2f844d390ae3f6543134d45879446f3907f906092996d8e6092	एक गांव में एक किसान था	general	self citation
0419904a7d8f5478ffbfbaca9bbb13a5d2644c17a8c914892c2596eb2dc87e73	दुल्हन अचानक से हँस पड़ी।		tatoeba.org
0419d2e2cd56948c254171dfaa18b01aa9266662a39bf61e2f2585166d848c65	मेरे पिताजी के पास बहुत सारी किताबें हैं।		tatoeba.org
041c74a7ee873d102adc2b75ecee863e937f9c509499d4f5a1cbf161fe7d4e9b	टॉम भी वहाँ था।		tatoeba.org
041e4d2ca6b94997ee5acee7968f0ddfba5a7d0605eb0a205dd6e6194cb6f90f	उन्होंने भी देखा।		tatoeba.org
0427cc1ed5386a6abccc4952ea5869b1cae3d9c47352b40cd32634b88abd1727	आप कब से अंग्रेज़ी सीखने लगीं?		tatoeba.org
04454af48c3271891ba0e4d1aa4c6c038fc76b80bf41f5dff7a941b9c51e7106	टॉम शादीशुदा है, उसके तीन बच्चे हैं और वह बोस्टन में रहता है।		tatoeba.org
044e231d1fed66c711eeb6905452459250215a71a6555e3e9aa233a33cf45414	काला वाला मेरा है।		tatoeba.org
044f587beed627fef97804067fe529960144dc1c2bd86137d640f82db83699f2	मेरी थी।		tatoeba.org
044f9f0a82b6d7f1a7083db24bf7f1c400d1c7f0bbf5d9b2f1ee67102a4c4aee	टॉम नौ से पाँच बजे तक काम करता है।		tatoeba.org
